iter	Passed	Remaining
705	1359	565
706	1360	563
707	1361	561
708	1362	559
709	1364	557
710	1365	555
711	1367	552
712	1368	550
713	1370	548
714	1371	546
715	1373	544
716	1374	542
717	1375	540
718	1377	538
719	1378	536
720	1379	533
721	1380	531
722	1382	529
723	1383	527
724	1385	525
725	1386	523
726	1388	521
727	1389	519
728	1390	517
729	1392	514
730	1393	512
731	1394	510
732	1396	508
733	1397	506
734	1398	504
735	1400	502
736	1402	500
737	1403	498
738	1404	496
739	1406	494
740	1407	491
741	1408	489
742	1409	487
743	1411	485
744	1412	483
745	1414	481
746	1415	479
747	1417	477
748	1418	475
749	1419	473
750	1421	471
751	1422	469
752	1423	467
753	1425	465
754	1426	462
755	1427	460
756	1429	458
757	1431	456
758	1432	454
759	1433	452
760	1435	450
761	1436	448
762	1437	446
763	1439	444
764	1440	442
765	1442	440
766	1443	438
767	1445	436
768	1447	434
769	1448	432
770	1449	430
771	1451	428
772	1452	426
773	1453	424
774	1455	422
775	1456	420
776	1458	418
777	1459	416
778	1461	414
779	1462	412
780	1463	410
781	1465	408
782	1466	406
783	1467	404
784	1469	402
785	1470	400
786	1471	398
787	1473	396
788	1474	394
789	1476	392
790	1477	390
791	1478	388
792	1480	386
793	1481	384
794	1482	382
795	1484	380
796	1485	378
797	1486	376
798	1488	374
799	1489	372
800	1490	370
801	1492	368
802	1493	366
803	1495	364
804	1496	362
805	1497	360
806	1499	358
807	1500	356
808	1501	354
809	1503	352
810	1504	350
811	1505	348
812	1507	346
813	1508	344
814	1509	342
815	1511	340
816	1512	338
817	1514	336
818	1515	334
819	1516	332
820	1518	331
821	1519	329
822	1521	327
823	1522	325
824	1523	323
825	1525	321
826	1526	319
827	1527	317
828	1529	315
829	1530	313
830	1531	311
831	1532	309
832	1534	307
833	1535	305
834	1537	303
835	1538	301
836	1539	299
837	1541	297
838	1542	296
839	1544	294
840	1545	292
841	1546	290
842	1547	288
843	1549	286
844	1550	284
845	1552	282
846	1554	280
847	1555	278
848	1556	276
849	1557	274
850	1559	272
851	1560	271
852	1561	269
853	1563	267
854	1564	265
855	1565	263
856	1567	261
857	1568	259
858	1570	257
859	1571	255
860	1572	253
861	1574	252
862	1575	250
863	1576	248
864	1578	246
865	1579	244
866	1580	242
867	1582	240
868	1584	238
869	1585	236
870	1586	234
871	1587	233
872	1589	231
873	1590	229
874	1591	227
875	1593	225
876	1594	223
877	1595	221
878	1597	219
879	1599	218
880	1600	216
881	1602	214
882	1603	212
883	1604	210
884	1605	208
885	1607	206
886	1608	204
887	1609	203
888	1611	201
889	1612	199
890	1614	197
891	1615	195
892	1616	193
893	1618	191
894	1619	190
895	1621	188
896	1622	186
897	1623	184
898	1624	182
899	1626	180
900	1629	179
901	1630	177
902	1632	175
903	1633	173
904	1634	171
905	1636	169
906	1637	167
907	1638	166
908	1640	164
909	1641	162
910	1643	160
911	1645	158
912	1646	156
913	1647	155
914	1648	153
915	1650	151
916	1651	149
917	1652	147
918	1654	145
919	1655	143
920	1656	142
921	1658	140
922	1660	138
923	1661	136
924	1662	134
925	1664	132
926	1665	131
927	1666	129
928	1668	127
929	1669	125
930	1670	123
931	1672	122
932	1673	120
933	1675	118
